"REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","%UNWEIGHTED ILI","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS"
"HHS Regions","Region 5",2015,18,1.04621,1.26549,380,240,NA,476,88,67,1251,252,98855
"HHS Regions","Region 6",2015,18,2.10266,1.9761,544,466,NA,708,162,113,1993,226,100855
"HHS Regions","Region 7",2015,18,0.817134,0.8753,32,34,NA,57,14,5,142,62,16223
"HHS Regions","Region 8",2015,18,0.872971,1.19617,107,97,NA,165,28,13,410,105,34276
"HHS Regions","Region 9",2015,18,2.09669,1.79496,341,234,NA,562,125,111,1373,216,76492
"HHS Regions","Region 10",2015,18,0.528082,0.764554,34,16,NA,21,6,6,83,52,10856
"HHS Regions","Region 1",2015,19,0.780414,0.640394,88,51,NA,95,33,19,286,130,44660
"HHS Regions","Region 2",2015,19,1.79159,1.5674,740,294,NA,725,108,108,1975,183,126005
"HHS Regions","Region 3",2015,19,1.21124,1.28837,394,332,NA,620,150,90,1586,234,123101
"HHS Regions","Region 4",2015,19,1.00599,1.08632,361,209,NA,410,93,58,1131,259,104113
"HHS Regions","Region 5",2015,19,1.00154,1.19592,367,193,NA,374,103,57,1094,237,91478
"HHS Regions","Region 6",2015,19,1.9477,1.91057,425,412,NA,664,175,119,1795,219,93951
"HHS Regions","Region 7",2015,19,0.844882,0.93889,25,30,NA,44,10,5,114,52,12142
"HHS Regions","Region 8",2015,19,0.678153,0.909508,71,49,NA,153,28,16,317,108,34854
"HHS Regions","Region 9",2015,19,2.09063,1.72201,318,227,NA,525,104,124,1298,217,75377
"HHS Regions","Region 10",2015,19,0.700294,0.822549,16,13,NA,31,9,6,75,49,9118
"HHS Regions","Region 1",2015,20,0.795374,0.664023,93,38,NA,119,14,19,283,116,42619
"HHS Regions","Region 2",2015,20,1.63654,1.62687,755,310,NA,675,121,82,1943,178,119432
"HHS Regions","Region 3",2015,20,1.22785,1.29118,390,330,NA,560,116,91,1487,226,115166
"HHS Regions","Region 4",2015,20,0.919026,0.992777,302,206,NA,351,79,64,1002,251,100929
"HHS Regions","Region 5",2015,20,0.842797,1.11277,349,169,NA,297,102,44,961,234,86361
"HHS Regions","Region 6",2015,20,1.90513,1.82341,435,398,NA,654,138,82,1707,215,93616
"HHS Regions","Region 7",2015,20,0.614542,0.665779,25,21,NA,26,7,6,85,54,12767
"HHS Regions","Region 8",2015,20,0.555634,0.903685,73,70,NA,132,22,10,307,101,33972
"HHS Regions","Region 9",2015,20,2.0089,1.75298,294,216,NA,447,134,69,1160,213,66173
"HHS Regions","Region 10",2015,20,0.610391,1.27361,38,10,NA,35,3,3,89,34,6988
"HHS Regions","Region 1",2015,21,0.823276,0.709098,88,35,NA,87,20,18,248,113,34974
"HHS Regions","Region 2",2015,21,1.84731,1.64344,748,274,NA,608,119,73,1822,162,110865
"HHS Regions","Region 3",2015,21,1.58654,1.36087,404,322,NA,593,114,80,1513,223,111179
"HHS Regions","Region 4",2015,21,0.741016,0.873298,290,162,NA,241,87,54,834,248,95500
"HHS Regions","Region 5",2015,21,0.716242,0.980323,248,109,NA,230,63,46,696,225,70997
"HHS Regions","Region 6",2015,21,1.80231,1.66425,427,299,NA,476,116,96,1414,203,84963
"HHS Regions","Region 7",2015,21,0.253158,0.347102,12,6,NA,6,1,5,30,49,8643
"HHS Regions","Region 8",2015,21,0.601928,1.04232,89,64,NA,133,25,23,334,102,32044
"HHS Regions","Region 9",2015,21,1.94064,1.62451,264,182,NA,317,105,94,962,206,59218
"HHS Regions","Region 10",2015,21,0.567533,0.770416,23,8,NA,23,2,4,60,48,7788
"HHS Regions","Region 1",2015,22,0.669392,0.606206,84,26,NA,86,15,16,227,109,37446
"HHS Regions","Region 2",2015,22,1.62516,1.44181,636,249,NA,569,104,66,1624,173,112636
"HHS Regions","Region 3",2015,22,1.24556,1.11757,338,287,NA,440,107,70,1242,227,111134
"HHS Regions","Region 4",2015,22,0.678372,0.740301,233,134,NA,199,69,51,686,225,92665
"HHS Regions","Region 5",2015,22,0.682971,0.96625,248,117,NA,223,67,43,698,207,72238
"HHS Regions","Region 6",2015,22,2.02649,1.55998,329,255,NA,351,90,86,1111,190,71219
"HHS Regions","Region 7",2015,22,0.251815,0.326008,7,4,NA,8,0,8,27,47,8282
"HHS Regions","Region 8",2015,22,0.538466,0.875831,78,65,NA,108,21,10,282,98,32198
"HHS Regions","Region 9",2015,22,1.97568,1.56221,243,191,NA,344,118,110,1006,186,64396
"HHS Regions","Region 10",2015,22,0.554538,0.560115,15,6,NA,17,3,2,43,43,7677
"HHS Regions","Region 1",2015,23,0.68428,0.675463,92,31,NA,92,19,23,257,108,38048
"HHS Regions","Region 2",2015,23,1.59308,1.50406,678,290,NA,604,120,97,1789,171,118945
"HHS Regions","Region 3",2015,23,1.34651,1.19101,340,284,NA,452,101,67,1244,206,104449
"HHS Regions","Region 4",2015,23,0.698594,0.673239,214,102,NA,177,56,41,590,208,87636
"HHS Regions","Region 5",2015,23,0.642671,0.888264,231,112,NA,208,63,37,651,215,73289
"HHS Regions","Region 6",2015,23,1.42131,1.38016,308,265,NA,384,87,67,1111,179,80498
"HHS Regions","Region 7",2015,23,0.212758,0.308818,4,9,NA,7,4,3,27,44,8743
"HHS Regions","Region 8",2015,23,0.455005,0.719776,67,38,NA,93,13,10,221,95,30704
"HHS Regions","Region 9",2015,23,1.70672,1.32401,157,182,NA,260,110,109,818,187,61782
"HHS Regions","Region 10",2015,23,0.466817,0.507757,18,7,NA,7,2,2,36,42,7090
"HHS Regions","Region 1",2015,24,0.543381,0.530101,64,29,NA,83,10,13,199,106,37540
"HHS Regions","Region 2",2015,24,1.16801,1.23006,520,235,NA,538,97,65,1455,169,118287
"HHS Regions","Region 3",2015,24,1.20399,1.08897,274,253,NA,443,77,68,1115,201,102390
"HHS Regions","Region 4",2015,24,0.6595,0.599061,188,85,NA,147,49,31,500,207,83464
"HHS Regions","Region 5",2015,24,0.548483,0.753907,182,118,NA,158,52,38,548,212,72688
"HHS Regions","Region 6",2015,24,1.44189,1.2792,301,232,NA,375,81,75,1064,198,83177
"HHS Regions","Region 7",2015,24,0.229008,0.305568,6,7,NA,5,5,4,27,45,8836
"HHS Regions","Region 8",2015,24,0.417339,0.646371,34,57,NA,86,14,9,200,94,30942
"HHS Regions","Region 9",2015,24,1.60863,1.20303,158,142,NA,205,104,103,712,185,59184
"HHS Regions","Region 10",2015,24,0.373802,0.490196,7,9,NA,6,6,2,30,42,6120
"HHS Regions","Region 1",2015,25,0.545817,0.554638,73,23,NA,73,4,15,188,102,33896
"HHS Regions","Region 2",2015,25,1.45487,1.3999,629,240,NA,544,92,70,1575,171,112508
"HHS Regions","Region 3",2015,25,1.2511,0.990268,276,237,NA,347,72,57,989,206,99872
"HHS Regions","Region 4",2015,25,0.610659,0.635747,181,96,NA,137,60,44,518,201,81479
"HHS Regions","Region 5",2015,25,0.632007,0.897927,238,122,NA,191,63,47,661,207,73614
"HHS Regions","Region 6",2015,25,1.21399,1.23466,299,246,NA,329,81,95,1050,196,85044
"HHS Regions","Region 7",2015,25,0.382385,0.470561,12,11,NA,6,6,6,41,45,8713
"HHS Regions","Region 8",2015,25,0.514233,0.77497,64,43,NA,100,21,14,242,94,31227
"HHS Regions","Region 9",2015,25,1.41003,1.02646,117,146,NA,188,88,70,609,181,59330
"HHS Regions","Region 10",2015,25,0.44034,0.625195,8,6,NA,6,9,11,40,42,6398
"HHS Regions","Region 1",2015,26,0.628069,0.597108,61,14,NA,71,11,16,173,101,28973
"HHS Regions","Region 2",2015,26,1.49921,1.34524,552,227,NA,453,97,74,1403,168,104294
"HHS Regions","Region 3",2015,26,1.16626,1.00227,294,195,NA,358,79,48,974,203,97179
"HHS Regions","Region 4",2015,26,0.657713,0.630669,170,88,NA,126,43,34,461,203,73097
"HHS Regions","Region 5",2015,26,0.560284,0.821031,196,80,NA,165,46,48,535,195,65162
"HHS Regions","Region 6",2015,26,1.28068,1.24029,249,240,NA,273,67,68,897,185,72322
"HHS Regions","Region 7",2015,26,0.298164,0.310278,4,7,NA,7,3,3,24,45,7735
"HHS Regions","Region 8",2015,26,0.394859,0.63176,42,56,NA,69,9,8,184,95,29125
"HHS Regions","Region 9",2015,26,1.43039,1.06729,101,126,NA,176,70,78,551,180,51626
"HHS Regions","Region 10",2015,26,0.400814,0.552995,9,10,NA,3,5,3,30,42,5425
"HHS Regions","Region 1",2015,27,0.502202,0.504671,56,22,NA,59,13,18,168,105,33289
"HHS Regions","Region 2",2015,27,1.3606,1.10475,471,206,NA,443,72,67,1259,169,113962
"HHS Regions","Region 3",2015,27,1.30198,0.961984,281,246,NA,334,67,48,976,213,101457
"HHS Regions","Region 4",2015,27,0.554966,0.567621,164,100,NA,124,50,28,466,201,82097
"HHS Regions","Region 5",2015,27,0.589775,0.785497,180,111,NA,163,67,44,565,188,71929
"HHS Regions","Region 6",2015,27,1.1037,1.07528,214,228,NA,301,70,75,888,193,82583
"HHS Regions","Region 7",2015,27,0.115022,0.167304,2,6,NA,3,2,1,14,44,8368
"HHS Regions","Region 8",2015,27,0.375766,0.540996,41,35,NA,76,11,4,167,91,30869
"HHS Regions","Region 9",2015,27,1.28213,0.951459,122,116,NA,165,83,84,570,181,59908
"HHS Regions","Region 10",2015,27,0.525571,0.715951,15,11,NA,7,8,2,43,43,6006
"HHS Regions","Region 1",2015,28,0.438622,0.462029,61,28,NA,53,8,8,158,102,34197
"HHS Regions","Region 2",2015,28,1.25046,1.06574,464,216,NA,398,84,48,1210,168,113536
"HHS Regions","Region 3",2015,28,1.12215,0.857704,230,211,NA,300,76,52,869,204,101317
"HHS Regions","Region 4",2015,28,0.595175,0.559944,154,85,NA,164,39,28,470,200,83937
"HHS Regions","Region 5",2015,28,0.50997,0.735135,173,100,NA,170,51,50,544,195,74000
"HHS Regions","Region 6",2015,28,1.12435,1.16789,245,243,NA,283,55,79,905,182,77490
"HHS Regions","Region 7",2015,28,0.290084,0.303693,3,5,NA,9,5,3,25,45,8232
"HHS Regions","Region 8",2015,28,0.344472,0.514701,32,39,NA,74,10,5,160,92,31086
"HHS Regions","Region 9",2015,28,1.11639,0.857724,113,100,NA,150,73,66,502,179,58527
"HHS Regions","Region 10",2015,28,0.404925,0.448878,12,1,NA,8,4,2,27,44,6015
"HHS Regions","Region 1",2015,29,0.418749,0.436199,56,18,NA,53,9,14,150,102,34388
"HHS Regions","Region 2",2015,29,1.10433,1.02054,413,190,NA,408,83,49,1143,169,112000
"HHS Regions","Region 3",2015,29,1.01928,0.805464,206,225,NA,284,81,39,835,213,103667
"HHS Regions","Region 4",2015,29,0.588865,0.543941,149,94,NA,131,48,32,454,205,83465
"HHS Regions","Region 5",2015,29,0.503062,0.725861,183,109,NA,141,39,31,503,180,69297
"HHS Regions","Region 6",2015,29,1.0912,1.11114,230,212,NA,257,72,75,846,191,76138
"HHS Regions","Region 7",2015,29,0.228075,0.256004,2,8,NA,7,2,2,21,44,8203
"HHS Regions","Region 8",2015,29,0.517255,0.727467,52,47,NA,93,14,12,218,92,29967
"HHS Regions","Region 9",2015,29,0.96374,0.750853,83,106,NA,121,63,67,440,177,58600
"HHS Regions","Region 10",2015,29,0.119489,0.373396,9,2,NA,3,2,0,16,28,4285
"HHS Regions","Region 1",2015,30,0.356937,0.40191,50,13,NA,56,10,4,133,96,33092
"HHS Regions","Region 2",2015,30,1.36927,1.16395,495,255,NA,397,110,53,1310,171,112548
