YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2010,40,3600,0,0,18,7,29,23,0,2.13889
2010,41,4006,0,0,36,13,43,36,0,3.19521
2010,42,4112,0,0,35,8,51,45,0,3.38035
2010,43,4240,0,0,56,13,45,52,0,3.91509
2010,44,4608,0,0,61,12,68,106,0,5.36024
2010,45,5377,0,0,79,15,93,163,0,6.50921
2010,46,5578,0,0,123,23,104,237,0,8.73073
2010,47,5533,0,0,155,11,156,265,0,10.6091
2010,48,5975,0,0,176,35,126,260,0,9.99163
2010,49,6361,0,0,359,48,126,310,0,13.2526
2010,50,7692,0,0,551,83,274,542,0,18.8508
2010,51,8172,0,0,789,112,456,689,0,25.0367
2010,52,9030,0,0,1015,197,512,648,0,26.268
2011,1,10441,0,0,1159,346,551,572,0,25.17
2011,2,10190,0,0,1216,557,626,585,0,29.2836
2011,3,11067,0,0,1437,832,700,741,0,33.5231
2011,4,12950,0,0,1524,1074,877,972,0,34.3398
2011,5,13875,0,0,1481,1231,1073,1127,0,35.4018
2011,6,14647,0,0,1488,1267,1145,1177,0,34.6624
2011,7,16401,0,0,1570,1432,1360,1354,0,34.8515
2011,8,15033,0,0,1235,1170,1048,1204,0,30.9785
2011,9,12990,0,0,997,954,738,884,0,27.5058
2011,10,11625,0,0,858,714,503,691,0,23.7935
2011,11,9860,0,0,609,457,371,563,0,20.284
2011,12,8443,0,0,426,264,265,406,0,16.1199
2011,13,7107,0,0,283,168,166,293,0,12.8043
2011,14,6481,0,0,208,87,87,254,0,9.8133
2011,15,5615,0,0,141,46,54,159,0,7.12378
2011,16,4642,0,0,60,30,29,86,0,4.4162
2011,17,3976,0,0,28,10,32,63,0,3.34507
2011,18,3611,0,0,23,11,10,25,0,1.91083
2011,19,3271,0,0,11,2,8,15,0,1.10058
2011,20,3079,0,0,6,3,4,13,0,0.84443
2011,21,2705,0,0,4,3,6,5,0,0.665434
2011,22,2442,0,0,0,2,5,6,0,0.532351
2011,23,2259,0,0,0,0,2,4,0,0.265604
2011,24,2109,0,0,1,2,6,0,0,0.426743
2011,25,1967,0,0,0,0,2,3,0,0.254194
2011,26,1560,0,0,0,2,1,1,0,0.25641
2011,27,1498,0,0,1,2,1,1,0,0.333778
2011,28,1500,0,0,4,0,1,4,0,0.6
2011,29,1500,0,0,4,0,1,5,0,0.666667
2011,30,1307,0,0,1,0,2,1,0,0.306044
2011,31,1428,0,0,2,3,3,3,0,0.770308
2011,32,1433,0,0,3,1,7,2,0,0.907188
2011,33,1506,0,1,5,2,5,3,0,1.06242
2011,34,1705,0,0,5,0,6,6,0,0.997067
2011,35,1925,0,0,3,2,9,1,0,0.779221
2011,36,2056,0,0,3,1,7,2,0,0.632296
2011,37,2326,0,0,6,0,11,4,0,0.902837
2011,38,2612,0,0,5,0,8,8,0,0.803982
2011,39,2920,0,0,18,1,10,6,0,1.19863
