YEAR,WEEK,PERCENT POSITIVE
2009,35,22.2863
2009,36,24.0064
2009,37,25.5905
2009,38,26.9917
2009,39,31.98
2009,40,33.5363
2009,41,37.5763
2009,42,39.3799
2009,43,35.575
2009,44,30.9253
2009,45,27.6115
2009,46,19.6182
2009,47,14.5628
2009,48,10.7355
2009,49,7.63816
2009,50,6.44178
2009,51,4.95245
2009,52,4.86638
2010,1,4.00804
2010,2,4.76408
2010,3,5.63297
2010,4,5.10862
2010,5,5.15589
2010,6,4.55612
2010,7,4.77612
2010,8,5.42482
2010,9,6.13521
2010,10,6.61157
2010,11,5.70547
2010,12,4.42165
2010,13,4.34617
2010,14,2.75657
2010,15,2.05128
2010,16,1.25668
2010,17,0.710383
2010,18,0.802053
2010,19,0.622622
2010,20,0.516707
2010,21,0.185943
2010,22,0.280899
2010,23,0.277393
2010,24,0.442696
2010,25,0.402617
2010,26,0.21978
2010,27,0.305623
2010,28,0.679012
2010,29,0.498132
2010,30,1.36418
2010,31,1.05263
2010,32,1.73031
2010,33,1.06145
2010,34,2.03355
2010,35,1.26582
2010,36,1.5411
2010,37,1.85322
2010,38,1.62162
2010,39,1.33869
2010,40,2.13889
2010,41,3.19521
2010,42,3.38035
2010,43,3.91509
2010,44,5.36024
2010,45,6.50921
2010,46,8.73073
2010,47,10.6091
2010,48,9.99163
2010,49,13.2526
2010,50,18.8508
2010,51,25.0367
2010,52,26.268
2011,1,25.17
2011,2,29.2836
2011,3,33.5231
2011,4,34.3398
2011,5,35.4018
2011,6,34.6624
2011,7,34.8515
2011,8,30.9785
2011,9,27.5058
2011,10,23.7935
2011,11,20.284
2011,12,16.1199
2011,13,12.8043
2011,14,9.8133
2011,15,7.12378
2011,16,4.4162
2011,17,3.34507
2011,18,1.91083
2011,19,1.10058
2011,20,0.84443
2011,21,0.665434
2011,22,0.532351
2011,23,0.265604
2011,24,0.426743
2011,25,0.254194
2011,26,0.25641
2011,27,0.333778
2011,28,0.6
2011,29,0.666667
2011,30,0.306044
2011,31,0.770308
2011,32,0.907188
2011,33,1.06242
2011,34,0.997067
2011,35,0.779221
2011,36,0.632296
2011,37,0.902837
2011,38,0.803982
2011,39,1.19863
2011,40,1.03383
2011,41,0.572979
2011,42,0.817518
2011,43,1.17365
2011,44,0.957055
2011,45,1.13269
2011,46,0.960699
2011,47,1.82571
2011,48,1.54209
2011,49,2.29299
2011,50,2.71097
2011,51,3.8245
2011,52,3.32724
2012,1,3.21617
2012,2,4.39993
2012,3,5.9657
2012,4,8.09932
2012,5,10.8783
2012,6,12.615
2012,7,14.8397
2012,8,18.9968
2012,9,23.8185
2012,10,28.183
2012,11,30.7187
2012,12,27.527
2012,13,21.557
2012,14,22.0762
2012,15,20.4473
2012,16,20.6363
2012,17,17.2691
2012,18,15.9885
2012,19,15.1687
2012,20,13.3298
2012,21,11.1558
2012,22,10.9053
2012,23,9.59083
2012,24,9.97239
2012,25,6.76157
2012,26,6.74058
2012,27,4.72081
2012,28,4.5809
2012,29,3.66667
2012,30,5.12695
2012,31,9.48635
2012,32,7.54141
2012,33,6.71731
2012,34,4.17745
2012,35,3.05899
2012,36,3.05422
2012,37,2.22561
2012,38,3.08483
2012,39,3.59002
2012,40,3.78905
2012,41,3.92755
2012,42,5.81063
2012,43,6.55861
2012,44,7.86164
2012,45,9.75799
2012,46,13.3611
2012,47,18.4179
2012,48,22.3829
2012,49,29.204
2012,50,32.6083
2012,51,37.4527
2012,52,37.8742
2013,1,35.2971
2013,2,34.2063
2013,3,30.5432
2013,4,29.5747
2013,5,26.5221
2013,6,22.7314
2013,7,20.8809
2013,8,20.037
2013,9,18.7262
2013,10,17.9144
2013,11,16.916
2013,12,15.913
2013,13,14.4522
2013,14,13.9339
2013,15,10.8261
2013,16,8.75336
2013,17,7.67419
2013,18,6.5867
2013,19,5.41024
2013,20,4.46124
2013,21,4.36905
2013,22,4.20965
2013,23,3.85906
2013,24,3.93362
2013,25,3.99752
2013,26,3.23441
2013,27,3.25708
2013,28,3.76932
2013,29,2.95527
2013,30,2.9361
2013,31,3.49157
2013,32,3.12751
2013,33,2.77778
2013,34,2.34375
2013,35,4.09182
2013,36,3.65311
2013,37,3.38701
2013,38,3.1893
2013,39,4.09051
2013,40,3.95032
2013,41,3.94284
2013,42,3.18911
2013,43,3.53381
2013,44,4.63901
2013,45,5.75954
2013,46,7.19145
2013,47,9.14657
2013,48,12.0813
2013,49,16.9043
2013,50,20.7899
2013,51,28.2198
2013,52,31.0706
2014,1,29.1749
2014,2,27.705
2014,3,26.7735
2014,4,24.3017
2014,5,20.4542
2014,6,19.0612
2014,7,16.406
2014,8,13.6425
2014,9,11.8806
2014,10,10.8357
2014,11,11.0513
2014,12,12.5365
2014,13,13.3207
2014,14,14.5133
2014,15,14.9603
2014,16,13.7184
2014,17,13.0442
2014,18,12.6513
2014,19,10.9823
2014,20,10.3669
2014,21,8.42127
2014,22,8.89216
2014,23,7.21578
2014,24,7.10145
2014,25,5.88084
2014,26,5.06698
2014,27,5.02545
2014,28,5.00491
2014,29,3.79548
2014,30,3.74161
2014,31,3.64069
2014,32,2.95997
2014,33,3.42508
2014,34,3.2944
2014,35,3.42311
2014,36,2.76792
2014,37,2.46056
2014,38,3.01003
2014,39,3.4547
2014,40,3.22985
2014,41,3.97789
2014,42,4.97911
2014,43,4.77822
2014,44,6.30474
2014,45,8.94875
2014,46,10.2853
2014,47,14.8645
2014,48,19.585
2014,49,23.1056
2014,50,28.0293
2014,51,30.9048
2014,52,32.4521
2014,53,27.3742
2015,1,24.0106
2015,2,24.2935
2015,3,23.3462
2015,4,21.5011
2015,5,19.0054
2015,6,15.5479
2015,7,13.8723
2015,8,12.7344
2015,9,13.1685
2015,10,12.7337
2015,11,11.9931
2015,12,11.2485
2015,13,11.0281
2015,14,9.99797
2015,15,8.41736
2015,16,6.51057
2015,17,5.66388
2015,18,5.38635
2015,19,4.17936
2015,20,3.66144
2015,21,2.91688
2015,22,2.7742
2015,23,2.64684
2015,24,2.4784
2015,25,2.17704
2015,26,2.45808
2015,27,1.88213
2015,28,1.70669
2015,29,1.51736
2015,30,1.5256
2015,31,1.94154
2015,32,1.64969
2015,33,1.89555
2015,34,1.85839
2015,35,2.2731
2015,36,2.18096
2015,37,2.57343
2015,38,1.88594
2015,39,2.04536
2015,40,7.199297629
2015,41,5.034722222
2015,42,6.176961603
2015,43,4.662379421
2015,44,3.071672355
2015,45,4.450825556
2015,46,4.663923182
2015,47,4.92653414
2015,48,5.806451613
2015,49,6.719367589
2015,50,9.559322034
2015,51,13.33333333
2015,52,17.50841751
2016,1,20.640956
2016,2,27.45995423
2016,3,32.21993834
2016,4,36.21495327
2016,5,42.50091676
2016,6,49.40662086
2016,7,56.59312468
2016,8,59.01999561
2016,9,62.55600597
2016,10,64.25907753
2016,11,57.6015568
2016,12,53.14268692
2016,13,50.99316184
2016,14,47.60715772
2016,15,43.73205742
2016,16,45.4845815
2016,17,37.62575453
2016,18,31.37777778
2016,19,27.18351325
2016,20,27.45098039
2016,21,22.84820031
2016,22,18.87966805
2016,23,12.5
2016,24,11.08490566
2016,25,17.8125
2016,26,13.23076923
2016,27,14.39114391
2016,28,13.40206186
2016,29,11.78451178
2016,30,18.45637584
2016,31,15.95441595
2016,32,17.09401709
2016,33,11.96808511
2016,34,11.81318681
2016,35,12.5
2016,36,14.5
2016,37,15.37070524
2016,38,15.91639871
2016,39,13.64942529
2016,40,11.80400891
2016,41,11.13402062
2016,42,14.64912281
2016,43,13.35616438
2016,44,12.11419753
2016,45,13.56862745
2016,46,16.35825315
2016,47,18.21493625
2016,48,22.30005838
2016,49,27.9787234
2016,50,37.34402852
2016,51,45.42914172
2016,52,56.22147855
2017,1,57.45167854
2017,2,56.09475621
2017,3,59.20991117
2017,4,59.7854641
2017,5,59.08375934
2017,6,63.06828473
2017,7,61.06841612
2017,8,60.57255676
2017,9,54.26783479
2017,10,53.93103448
2017,11,51.05003088
2017,12,53.48692403
