YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2014,40,9567,0,0,100,2,97,110,0,3.22985
2014,41,11036,0,0,125,5,149,160,0,3.97789
2014,42,11729,0,0,226,7,186,164,1,4.97911
2014,43,11385,0,0,212,5,200,127,0,4.77822
2014,44,11531,0,0,295,4,292,136,0,6.30474
2014,45,12918,0,0,506,6,489,155,0,8.94875
2014,46,13777,0,0,633,8,629,147,0,10.2853
2014,47,16166,0,0,1002,5,1233,163,0,14.8645
2014,48,18504,0,0,1538,8,1878,200,0,19.585
2014,49,23068,0,0,2585,13,2483,249,0,23.1056
2014,50,29223,0,0,3823,6,4047,315,0,28.0293
2014,51,37114,0,0,4978,4,6163,325,0,30.9048
2014,52,42518,0,0,5549,10,7847,392,0,32.4521
2014,53,41550,0,0,5260,10,5695,409,0,27.3742
2015,1,38508,0,0,4908,11,3955,372,0,24.0106
2015,2,35598,0,0,4586,9,3580,473,0,24.2935
2015,3,34194,0,0,3918,4,3513,548,0,23.3462
2015,4,32003,0,0,3475,11,2789,606,0,21.5011
2015,5,29581,0,0,2719,10,2170,723,0,19.0054
2015,6,26994,0,0,1746,7,1575,869,0,15.5479
2015,7,24293,0,0,1242,10,1108,1010,0,13.8723
2015,8,22294,0,0,954,18,740,1127,0,12.7344
2015,9,20420,0,0,774,5,558,1352,0,13.1685
2015,10,19845,0,0,458,8,405,1656,0,12.7337
2015,11,18419,0,0,340,2,302,1565,0,11.9931
2015,12,16980,0,0,227,7,197,1479,0,11.2485
2015,13,15125,0,0,168,4,119,1377,0,11.0281
2015,14,14743,0,0,87,8,107,1272,0,9.99797
2015,15,13389,0,0,66,13,79,969,0,8.41736
2015,16,11873,0,0,48,2,40,683,0,6.51057
2015,17,10770,0,0,26,4,36,544,0,5.66388
2015,18,9784,0,0,12,2,19,494,0,5.38635
2015,19,9188,0,0,16,2,26,340,0,4.17936
2015,20,8412,0,0,21,1,19,267,0,3.66144
2015,21,7748,0,0,20,1,21,184,0,2.91688
2015,22,6993,0,0,20,0,22,152,0,2.7742
2015,23,6725,0,0,20,1,28,129,0,2.64684
2015,24,6133,0,0,50,2,22,78,0,2.4784
2015,25,5558,0,0,51,0,24,46,0,2.17704
2015,26,5248,0,0,59,2,35,33,0,2.45808
2015,27,5260,0,0,40,4,18,36,1,1.88213
2015,28,5039,0,0,35,3,11,37,0,1.70669
2015,29,4811,0,0,31,2,19,21,0,1.51736
2015,30,4785,0,0,44,0,20,9,0,1.5256
2015,31,4790,0,0,50,4,21,18,0,1.94154
2015,32,4910,0,0,34,3,30,14,0,1.64969
2015,33,5170,0,0,55,2,25,16,0,1.89555
2015,34,5381,0,0,44,3,33,20,0,1.85839
2015,35,6115,0,0,64,3,43,29,0,2.2731
2015,36,6786,0,0,74,1,35,38,0,2.18096
2015,37,7694,0,0,91,4,56,47,0,2.57343
2015,38,8855,0,0,58,1,62,46,0,1.88594
2015,39,9876,0,0,77,7,59,59,0,2.04536
