YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2008,40,2759,3,0,0,0,8,6,0,0.616165
2008,41,2874,5,0,4,0,8,6,0,0.800278
2008,42,2937,13,0,3,0,15,6,0,1.25979
2008,43,3434,22,0,0,0,24,15,0,1.77635
2008,44,3545,13,0,3,0,21,6,0,1.21298
2008,45,4154,33,0,3,0,23,12,0,1.7092
2008,46,4418,25,0,2,0,23,12,0,1.40335
2008,47,4739,25,0,1,0,32,26,0,1.77253
2008,48,4836,40,0,1,0,48,20,0,2.25393
2008,49,5598,45,0,6,0,58,18,0,2.26867
2008,50,5989,68,0,10,0,69,42,0,3.15579
2008,51,6301,81,0,19,0,113,60,0,4.33265
2008,52,6031,70,0,14,0,156,45,0,4.72558
2008,53,6592,119,0,19,0,177,50,0,5.53701
2009,1,6981,176,0,35,0,299,79,0,8.43719
2009,2,6995,207,0,25,0,425,103,0,10.8649
2009,3,7943,364,0,51,0,670,190,0,16.0519
2009,4,9484,563,0,81,0,944,381,0,20.7613
2009,5,11707,678,0,55,0,1382,687,0,23.9344
2009,6,12691,835,0,68,0,1357,947,0,25.2699
2009,7,11741,844,1,73,0,1064,931,0,24.8105
2009,8,11912,707,0,58,0,1006,1152,0,24.5383
2009,9,10970,549,0,69,0,885,1168,0,24.3482
2009,10,9595,388,0,70,0,627,1062,0,22.3762
2009,11,8628,358,0,63,0,433,919,0,20.5494
2009,12,7343,268,0,45,0,285,631,0,16.737
2009,13,5778,122,0,27,0,178,472,0,13.8283
2009,14,5095,102,1,35,0,129,276,0,10.6575
2009,15,4674,39,1,29,0,82,185,0,7.1887
2009,16,4219,43,4,37,14,113,113,0,7.67954
2009,17,36203,702,195,935,1354,526,800,0,12.4631
2009,18,34659,518,117,893,2484,709,486,0,15.0235
2009,19,16820,155,88,298,1741,626,134,0,18.0856
2009,20,15410,79,71,322,2796,767,93,0,26.7878
2009,21,13483,34,27,304,3144,964,42,0,33.4866
2009,22,13553,30,17,441,3967,872,24,0,39.482
2009,23,13762,29,18,268,4203,1194,15,0,41.6146
2009,24,14264,15,22,221,4587,1286,9,0,43.0454
2009,25,12117,9,33,76,3267,993,6,0,36.1806
2009,26,10913,13,23,41,2637,747,7,0,31.7786
2009,27,10713,1,12,45,2753,614,7,0,32.0358
2009,28,9808,3,24,29,2123,519,3,0,27.5387
2009,29,8646,4,17,16,1901,403,3,0,27.1108
2009,30,9184,4,24,11,1990,498,4,0,27.5588
2009,31,8424,10,18,7,1471,486,2,0,23.6705
2009,32,8572,9,8,8,1462,441,5,0,22.5502
2009,33,10003,9,11,18,1905,493,1,0,24.3627
2009,34,11636,12,16,15,1792,713,15,0,22.0265
