YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2012,40,4513,0,0,73,9,11,78,0,3.78905
2012,41,4914,0,0,67,7,24,95,0,3.92755
2012,42,5249,0,0,131,4,48,122,0,5.81063
2012,43,5306,0,0,152,3,52,141,0,6.55861
2012,44,5406,0,0,188,4,79,154,0,7.86164
2012,45,6446,0,0,277,5,116,231,0,9.75799
2012,46,6721,0,0,404,8,217,267,2,13.3611
2012,47,7433,0,0,591,7,407,364,0,18.4179
2012,48,9333,0,0,1022,19,545,503,0,22.3829
2012,49,12060,0,0,1787,39,1003,693,0,29.204
2012,50,14711,0,0,2662,53,1226,856,0,32.6083
2012,51,16904,0,0,3703,55,1419,1154,0,37.4527
2012,52,18139,0,0,3825,88,1758,1199,0,37.8742
2013,1,19673,0,0,3723,95,1980,1146,0,35.2971
2013,2,22224,0,0,4073,126,2166,1237,0,34.2063
2013,3,20931,0,0,3232,127,1892,1142,0,30.5432
2013,4,18668,0,0,2527,145,1660,1189,0,29.5747
2013,5,16228,0,0,1952,143,1051,1158,0,26.5221
2013,6,14491,0,0,1205,121,780,1188,0,22.7314
2013,7,12691,0,0,844,78,534,1194,0,20.8809
2013,8,11354,0,0,575,78,397,1225,0,20.037
2013,9,10504,0,0,417,60,309,1181,0,18.7262
2013,10,10165,0,0,330,70,217,1204,0,17.9144
2013,11,9559,0,0,212,49,201,1155,0,16.916
2013,12,8647,0,0,179,36,144,1017,0,15.913
2013,13,7722,0,0,124,41,98,853,0,14.4522
2013,14,6782,0,0,121,30,107,687,0,13.9339
2013,15,6198,0,0,69,48,65,489,0,10.8261
2013,16,5575,0,0,79,30,47,332,0,8.75336
2013,17,5095,0,0,60,34,48,249,0,7.67419
2013,18,4919,0,0,55,18,29,222,0,6.5867
2013,19,4473,0,0,36,13,27,166,0,5.41024
2013,20,4102,0,0,24,11,22,126,0,4.46124
2013,21,4097,0,0,21,15,20,123,0,4.36905
2013,22,3587,0,0,14,14,28,95,0,4.20965
2013,23,3576,0,0,13,14,29,82,0,3.85906
2013,24,3254,0,0,12,21,32,63,0,3.93362
2013,25,3227,0,0,12,29,31,55,2,3.99752
2013,26,2999,0,0,5,34,24,28,6,3.23441
2013,27,2579,0,0,14,17,24,25,4,3.25708
2013,28,2653,0,0,30,23,33,14,0,3.76932
2013,29,2504,0,0,13,21,25,14,1,2.95527
2013,30,2316,0,0,11,20,26,10,1,2.9361
2013,31,2549,0,0,14,23,30,20,2,3.49157
2013,32,2494,0,0,11,28,27,12,0,3.12751
2013,33,2304,0,0,3,16,33,12,0,2.77778
2013,34,2560,0,0,4,12,40,3,1,2.34375
2013,35,3006,0,0,4,42,66,10,1,4.09182
2013,36,3148,0,0,6,25,71,13,0,3.65311
2013,37,3602,0,0,7,49,59,7,0,3.38701
2013,38,3888,0,0,8,38,56,22,0,3.1893
2013,39,4596,0,0,11,55,102,20,0,4.09051
