YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2009,35,13008,10,17,11,1798,1062,1,0,22.2863
2009,36,14896,4,8,6,2132,1416,10,0,24.0064
2009,37,16682,4,10,1,2456,1794,4,0,25.5905
2009,38,16820,4,24,6,2614,1881,11,0,26.9917
2009,39,15419,8,24,4,3456,1427,12,0,31.98
2009,40,23980,1,18,2,6178,1822,21,0,33.5363
2009,41,29005,2,18,0,8858,2003,18,0,37.5763
2009,42,31511,4,27,5,10050,2291,32,0,39.3799
2009,43,28104,1,39,2,7968,1971,17,0,35.575
2009,44,24986,5,21,2,6208,1467,24,0,30.9253
2009,45,21788,2,21,2,4812,1165,14,0,27.6115
2009,46,18493,1,21,0,2848,746,12,0,19.6182
2009,47,13301,1,9,3,1474,445,5,0,14.5628
2009,48,13134,1,9,0,1048,322,30,0,10.7355
2009,49,11364,1,7,3,630,211,16,0,7.63816
2009,50,10494,0,6,3,496,158,13,0,6.44178
2009,51,8622,3,1,0,273,146,4,0,4.95245
2009,52,9617,0,1,1,311,146,9,0,4.86638
2010,1,9456,0,3,1,272,92,11,0,4.00804
2010,2,8753,1,2,3,272,128,11,0,4.76408
2010,3,8468,0,2,1,324,149,1,0,5.63297
2010,4,8378,0,0,3,282,134,9,0,5.10862
2010,5,8243,0,0,0,307,108,10,0,5.15589
2010,6,8099,1,0,0,250,109,9,0,4.55612
2010,7,8375,0,0,0,281,112,7,0,4.77612
2010,8,8074,0,0,1,335,99,3,0,5.42482
2010,9,7514,0,0,0,353,102,6,0,6.13521
2010,10,7502,0,0,0,364,119,13,0,6.61157
2010,11,6485,0,0,1,262,103,4,0,5.70547
2010,12,5654,0,0,1,180,58,11,0,4.42165
2010,13,5246,0,0,1,166,55,6,0,4.34617
2010,14,4716,0,0,1,102,26,1,0,2.75657
2010,15,4095,0,0,2,60,14,8,0,2.05128
2010,16,3740,0,0,2,20,12,13,0,1.25668
2010,17,3660,0,0,0,17,5,4,0,0.710383
2010,18,3117,0,0,1,18,3,3,0,0.802053
2010,19,2891,0,0,2,6,6,4,0,0.622622
2010,20,2903,0,1,1,7,3,3,0,0.516707
2010,21,2689,0,0,0,0,3,2,0,0.185943
2010,22,2136,0,0,1,3,0,2,0,0.280899
2010,23,2163,0,0,1,1,1,3,0,0.277393
2010,24,2033,0,0,4,1,1,3,0,0.442696
2010,25,1987,0,0,4,3,1,0,0,0.402617
2010,26,1820,0,0,1,1,1,1,0,0.21978
2010,27,1636,0,0,4,1,0,0,0,0.305623
2010,28,1620,0,0,7,2,0,2,0,0.679012
2010,29,1606,0,0,2,3,0,3,0,0.498132
2010,30,1686,0,0,13,1,4,5,0,1.36418
2010,31,1520,0,0,9,4,2,1,0,1.05263
2010,32,1676,0,0,10,7,2,10,0,1.73031
2010,33,1790,0,0,11,5,0,3,0,1.06145
2010,34,1967,0,0,18,10,6,6,0,2.03355
2010,35,2212,0,0,14,7,3,4,0,1.26582
2010,36,2336,0,0,16,9,7,4,0,1.5411
2010,37,2698,1,0,31,5,7,6,0,1.85322
2010,38,2960,0,0,30,0,9,9,0,1.62162
2010,39,2988,0,0,20,2,8,10,0,1.33869
2010,40,3600,0,0,18,7,29,23,0,2.13889
2010,41,4006,0,0,36,13,43,36,0,3.19521
2010,42,4112,0,0,35,8,51,45,0,3.38035
2010,43,4240,0,0,56,13,45,52,0,3.91509
2010,44,4608,0,0,61,12,68,106,0,5.36024
2010,45,5377,0,0,79,15,93,163,0,6.50921
2010,46,5578,0,0,123,23,104,237,0,8.73073
2010,47,5533,0,0,155,11,156,265,0,10.6091
2010,48,5975,0,0,176,35,126,260,0,9.99163
2010,49,6361,0,0,359,48,126,310,0,13.2526
2010,50,7692,0,0,551,83,274,542,0,18.8508
2010,51,8172,0,0,789,112,456,689,0,25.0367
2010,52,9030,0,0,1015,197,512,648,0,26.268
2011,1,10441,0,0,1159,346,551,572,0,25.17
2011,2,10190,0,0,1216,557,626,585,0,29.2836
2011,3,11067,0,0,1437,832,700,741,0,33.5231
2011,4,12950,0,0,1524,1074,877,972,0,34.3398
2011,5,13875,0,0,1481,1231,1073,1127,0,35.4018
2011,6,14647,0,0,1488,1267,1145,1177,0,34.6624
2011,7,16401,0,0,1570,1432,1360,1354,0,34.8515
2011,8,15033,0,0,1235,1170,1048,1204,0,30.9785
2011,9,12990,0,0,997,954,738,884,0,27.5058
2011,10,11625,0,0,858,714,503,691,0,23.7935
2011,11,9860,0,0,609,457,371,563,0,20.284
2011,12,8443,0,0,426,264,265,406,0,16.1199
2011,13,7107,0,0,283,168,166,293,0,12.8043
2011,14,6481,0,0,208,87,87,254,0,9.8133
2011,15,5615,0,0,141,46,54,159,0,7.12378
2011,16,4642,0,0,60,30,29,86,0,4.4162
2011,17,3976,0,0,28,10,32,63,0,3.34507
2011,18,3611,0,0,23,11,10,25,0,1.91083
2011,19,3271,0,0,11,2,8,15,0,1.10058
2011,20,3079,0,0,6,3,4,13,0,0.84443
2011,21,2705,0,0,4,3,6,5,0,0.665434
2011,22,2442,0,0,0,2,5,6,0,0.532351
2011,23,2259,0,0,0,0,2,4,0,0.265604
2011,24,2109,0,0,1,2,6,0,0,0.426743
