Week,influenza,YEAR,WEEK,PERCENT POSITIVE
10/28/2018,13,2018,43,11.75390266
11/4/2018,13,2018,44,9.613804437
11/11/2018,13,2018,45,13.24655436
11/18/2018,9,2018,46,14.4292893
11/25/2018,14,2018,47,25.5222525
12/2/2018,14,2018,48,23.98325359
12/9/2018,16,2018,49,28.31695332
12/16/2018,19,2018,50,40.32882012
12/23/2018,23,2018,51,55.17384106
12/30/2018,23,2018,52,65.04599212
1/6/2019,26,2019,1,58.14319434
1/13/2019,29,2019,2,53.40006904
1/20/2019,32,2019,3,58.3515682
1/27/2019,36,2019,4,63.2174616
2/3/2019,41,2019,5,63.2183908
2/10/2019,44,2019,6,60.42749856
